timestamp_ros,elapsed_time,ai_enabled,error_x,error_y,error_yaw,acc_x,acc_y,acc_z,gyro_z,linear_x,angular_z,yaw_odom,yaw_filtered,yaw_diff,acc_y_mul_gyro_z,gyro_z_mul_linear_x,cmd_linear_x,cmd_angular_z,delta_angular_z,delta_cmd_angular_z
1744469844.424421,25.43062686920166,0,0.0,0.0,0.0,-0.18,-1.25,10.97,-0.13777777777777778,0.16735426098560732,-0.17678267005451934,2.223008660793684,2.2492143208882798,-0.026205660094595906,0.17222222222222222,-0.02305769818023923,0.13328886783140664,-0.1682708202134227,0.001156514048373299,-0.308937078659504
1744469844.6236403,25.62983798980713,0,0.0,0.0,0.0,0.17,-0.88,9.53,-0.1711111111111111,0.10478356003512451,-0.23613196627601651,2.1858405223568522,2.2302021813288517,-0.04436165897199951,0.15057777777777778,-0.01792963138378797,0.0,-0.4,-2.9661824174283007,-11.593380238746605
1744469844.8251164,25.831268310546875,0,0.0,0.0,0.0,-1.09,-2.38,9.61,-0.21555555555555556,0.005258874867011844,-0.32590210444257806,2.1244835954134818,2.1984866055542405,-0.07400301014075872,0.5130222222222222,-0.0011335796935558863,0.0,-0.4,-3.094714196090678,0.0
1744469845.0244644,26.030664682388306,0,0.0,0.0,0.0,-0.26,-0.63,9.68,-0.2833333333333333,-0.00582397188670482,-0.29529998298606897,2.0672564616297975,2.1591175623769074,-0.09186110074710996,0.1785,0.0016501253678996989,0.0,-0.4,-1.4339224466307106,0.0
1744469845.2250972,26.231277227401733,0,0.0,0.0,0.0,-0.31,-0.44,9.96,-0.31666666666666665,-0.010455533046911289,-0.2945220576658678,2.0088493869433335,2.1140371097468353,-0.10518772280350186,0.13933333333333334,0.0033109187981885746,0.0,-0.4,0.027350468806207444,0.0
1744469845.4251351,26.43121075630188,0,0.0,0.0,0.0,-0.34,-0.82,9.96,-0.36333333333333334,-0.005256734938276544,-0.38500030534660146,1.94513257819447,2.063365750281126,-0.11823317208665585,0.29793333333333333,0.001909947027573811,0.0,-0.7305845376984411,-0.6768706145703504,-16.59472262350215
1744469845.623546,26.62975788116455,0,0.0,0.0,0.0,0.28,-0.56,10.07,-0.7388888888888889,-0.010489115995979811,-0.7682169461908528,1.8218287538563964,1.990904651353707,-0.16907589749731056,0.41377777777777786,0.0077502912636961945,0.0,-0.7365924403671722,-4.519145372977232,-0.3008868188882189
1744469845.826229,26.83243155479431,0,0.0,0.0,0.0,-0.41,-1.39,9.47,-0.7466666666666667,0.005249949054751756,-0.7985837998953926,1.6696163774007653,1.8945181691678243,-0.22490179176705904,1.0378666666666667,-0.003919961960881312,0.0,-1.1343037212287683,2.8650992880050605,-19.938587143216427
1744469846.0244806,27.030664205551147,0,0.0,0.0,0.0,-0.67,-0.13,10.98,-1.2266666666666666,0.0,-1.2388357528292535,1.4513273103907776,1.7615609115347102,-0.3102336011439326,0.15946666666666667,-0.0,0.0,-1.1349143543061313,-1.3627832129493578,-0.030529499343392
1744469846.2248535,27.231061697006226,0,0.0,0.0,0.0,-0.15,-1.57,9.68,-1.3022222222222222,0.0,-1.3049677428904956,1.1958701049439426,1.5918536695574799,-0.39598356461353723,2.044488888888889,-0.0,0.0,-1.2,0.759200815540219,-3.271876120050052
1744469846.426482,27.432591915130615,0,0.0,0.0,0.0,0.0,-0.09,10.41,-1.3722222222222222,0.005494864360342494,-1.3930642040237713,0.9262536086640353,1.3921736512894465,-0.4659200426254112,0.1235,-0.007540174983358867,0.0,-1.2,-1.983179915418421,0.0
1744469846.6243703,27.630557775497437,0,0.0,0.0,0.0,0.31,-0.87,11.19,-1.4,-0.005260638470046794,-1.3929577920622949,0.6542772305786029,1.1708047250761933,-0.5165274944975904,1.218,0.007364893858065511,0.0,-1.2,-1.9252290894212554,0.0
1744469846.8243499,27.83053708076477,0,0.0,0.0,0.0,-0.23,-0.38,9.56,-1.3811111111111112,-0.005241929178308113,-1.3289397916773418,0.3846607342986958,0.9349615278429441,-0.5503007935442483,0.5248222222222223,0.007239686631818873,0.0,-1.2,-0.3706318782669715,0.0
1744469847.0256312,28.03184175491333,0,0.0,0.0,0.0,-0.08,-1.1,9.18,-1.3755555555555556,-0.0052553512064277864,-1.3323425593696367,0.11150441531050079,0.687924394083211,-0.5764199787727102,1.5131111111111113,0.0072290275483973335,0.0,-1.2,3.8870042007369707,0.0
1744469847.2253573,28.2314133644104,0,0.0,0.0,0.0,-0.76,0.42,7.77,-1.4055555555555554,0.0,-1.3598025243229122,-0.16224187412905952,0.43287451361952983,-0.5951163877485893,-0.5903333333333333,-0.0,0.0,-1.2,4.79987152616551,0.0
1744469847.4248955,28.431084632873535,0,0.0,0.0,0.0,-0.26,0.48,8.3,-1.3622222222222222,-1.425016744346599e-13,-1.360810423667071,-0.4318583704089666,0.1734546484109809,-0.6053130188199475,-0.6538666666666666,1.9411894761877003e-13,0.0,-1.2,-1.752034193534463,0.0
1744469847.6248975,28.631101369857788,0,0.0,0.0,0.0,-0.28,-0.42,9.41,-1.3888888888888888,0.010507056617315911,-1.3614777588747158,-0.7056046598485269,-0.0902631440668715,-0.6153415157816554,0.5833333333333333,-0.014593134190716542,0.0,-1.2,-0.3284606819777144,0.0
1744469847.8263006,28.832465171813965,0,0.0,0.0,0.0,0.41,-1.4,8.2,-1.3277777777777777,-1.4282780820355633e-13,-1.3046237377810879,-0.9764010970311967,-0.3561045299561691,-0.6202965670750276,1.8588888888888886,1.8964358978138868e-13,0.0,-0.7599999999999999,-0.2847353200099944,22.113374233128837
1744469848.0242348,29.030423641204834,0,0.0,0.0,0.0,0.5,-0.01,10.56,-0.8377777777777777,-0.015596608431401218,-0.7908139486376075,-1.1781709914026028,-0.6027244683900992,-0.5754465230125037,0.008377777777777777,0.013066491952529465,0.0,-0.31999999999999984,0.33509823745502415,21.844040480558682
1744469848.2300017,29.235969066619873,0,0.0,0.0,0.0,0.14,-0.53,9.74,-0.29333333333333333,-0.011049306008215486,-0.24899844525133652,-1.2737462045258983,-0.8040309892308389,-0.46971521529505933,0.15546666666666667,0.003241129762409876,0.0,0.0,4.680735601337311,16.88209602153377
1744469848.42412,29.43030858039856,0,0.0,0.0,0.0,0.05,-0.64,9.88,0.0,0.0,0.0,-1.2837757021993168,-0.9479544031213822,-0.33582129907793457,-0.0,0.0,0.0,0.0,0.0,0.0
